iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,gdp_per_capita
AFG,Asia,Afghanistan,120216.0,4962.0,3088.136,0.0,127.465,0.0,,,1803.987
ALB,Europe,Albania,132526.0,2456.0,46051.15,1.042,853.43,0.0,,,11803.431
DZA,Africa,Algeria,140550.0,3735.0,3205.169,10.832,85.175,0.205,,,13913.839
AND,Europe,Andorra,13918.0,127.0,180133.307,0.0,1643.694,0.0,,,
AGO,Africa,Angola,39089.0,906.0,1189.335,3.773,27.566,0.091,,,5819.495
AIA,North America,Anguilla,,,,,,,6525.0,43.49,
ATG,North America,Antigua and Barbuda,1264.0,42.0,12907.442,0.0,428.887,0.0,,,21490.943
ARG,South America,Argentina,4512439.0,95382.0,99842.049,462.167,2110.418,13.497,4203409.0,9.3,18933.907
ARM,Asia,Armenia,225339.0,4518.0,76044.956,39.821,1524.686,0.337,,,8787.58
ABW,North America,Aruba,,,,,,,59897.0,56.1,35973.781
AUS,Oceania,Australia,30734.0,910.0,1205.261,1.961,35.686,0.0,1726273.0,6.77,44648.71
AUT,Europe,Austria,650569.0,10709.0,72234.078,10.548,1189.043,0.333,3272220.0,36.33,45436.686
AZE,Asia,Azerbaijan,336223.0,4977.0,33160.785,9.961,490.868,0.197,1379921.0,13.61,15847.419
BHS,North America,Bahamas,12735.0,246.0,32384.144,0.0,625.559,0.0,,,27717.847
BHR,Asia,Bahrain,266140.0,1356.0,156407.298,96.969,796.905,1.763,993896.0,58.41,43290.705
BGD,Asia,Bangladesh,930042.0,14778.0,5647.249,51.509,89.733,0.802,,,3523.984
BRB,North America,Barbados,4082.0,47.0,14204.634,0.0,163.552,0.0,,,16978.068
BLR,Europe,Belarus,419330.0,3164.0,44376.734,118.315,334.839,1.164,,,17167.967
BEL,Europe,Belgium,1086508.0,25185.0,93748.404,53.755,2173.066,0.431,,,42658.576
BLZ,North America,Belize,13343.0,330.0,33557.081,108.143,829.936,2.515,,,7824.362
BEN,Africa,Benin,8199.0,104.0,676.307,0.0,8.579,0.0,,,2064.236
BMU,North America,Bermuda,,,,,,,39034.0,62.68,50669.315
BTN,Asia,Bhutan,2122.0,1.0,2750.087,23.328,1.296,0.0,,,8708.597
BOL,South America,Bolivia,442884.0,16879.0,37940.795,136.897,1445.983,4.883,720327.0,6.17,6885.829
BES,North America,Bonaire Sint Eustatius and Saba,,,,,,,1665.0,6.35,
BIH,Europe,Bosnia and Herzegovina,205047.0,9667.0,62498.8,4.572,2946.524,0.0,,,11713.895
BWA,Africa,Botswana,71443.0,1158.0,30380.269,0.0,492.425,0.0,,,15807.374
BRA,South America,Brazil,18687469.0,521952.0,87916.452,306.573,2455.558,8.736,,,14103.452
VGB,North America,British Virgin Islands,,,,,,,8841.0,29.24,
BRN,Asia,Brunei,261.0,3.0,596.595,0.0,6.857,0.0,,,71809.251
BGR,Europe,Bulgaria,421983.0,18083.0,60730.566,11.657,2602.453,2.303,818364.0,11.78,18563.307
BFA,Africa,Burkina Faso,13488.0,168.0,645.258,0.144,8.037,0.0,,,1703.102
BDI,Africa,Burundi,5494.0,8.0,462.039,1.009,0.673,0.0,,,702.225
KHM,Asia,Cambodia,52350.0,660.0,3131.174,57.779,39.476,1.914,3166482.0,18.94,3645.07
CMR,Africa,Cameroon,80858.0,1324.0,3045.974,0.0,49.876,0.0,,,3364.926
CAN,North America,Canada,1423837.0,26306.0,37725.374,24.773,696.992,0.874,12595940.0,33.37,44017.591
CPV,Africa,Cape Verde,32666.0,287.0,58753.067,129.499,516.198,0.0,,,6222.554
CYM,North America,Cayman Islands,,,,,,,45504.0,69.24,49903.029
