iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-07-02,120216,0,1232,4962,0,63.286,3088.136,0,31.648,127.465,0,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
ALB,Europe,Albania,2021-07-02,132526,3,2.857,2456,0,0.143,46051.15,1.042,0.993,853.43,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
DZA,Africa,Algeria,2021-07-02,140550,475,396.857,3735,9,8.143,3205.169,10.832,9.05,85.175,0.205,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AND,Europe,Andorra,2021-07-02,13918,0,5.143,127,0,0,180133.307,0,66.561,1643.694,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,
AGO,Africa,Angola,2021-07-02,39089,124,102.571,906,3,3.286,1189.335,3.773,3.121,27.566,0.091,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
AIA,North America,Anguilla,2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15789,9264,6525,,84,105.25,61.75,43.49,5599,,15002,,,,,,,,,,,,,81.88,,
ATG,North America,Antigua and Barbuda,2021-07-02,1264,0,0.143,42,0,0,12907.442,0,1.459,428.887,0,0,,,,,,,,,,,16700,170.533,,,,,,tests performed,,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ARG,South America,Argentina,2021-07-02,4512439,20888,19693.143,95382,610,486.143,99842.049,462.167,435.73,2110.418,13.497,10.756,,,,,,,,,,,,,,,,,,,21310026,17106617,4203409,402305,300603,47.15,37.85,9.3,6651,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,
ARM,Asia,Armenia,2021-07-02,225339,118,100.571,4518,1,1.857,76044.956,39.821,33.94,1524.686,0.337,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
ABW,North America,Aruba,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127984,68087,59897,568,385,119.87,63.77,56.1,3606,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
AUS,Oceania,Australia,2021-07-02,30734,50,39.571,910,0,0,1205.261,1.961,1.552,35.686,0,0,,,,,,,,,,,,,,,,,,,7970153,6243880,1726273,,118932,31.26,24.49,6.77,4664,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,
AUT,Europe,Austria,2021-07-02,650569,95,79,10709,3,1.286,72234.078,10.548,8.772,1189.043,0.333,0.143,,,,,,,,,,,,,,,,,,,7975863,4820911,3272220,105010,83926,88.56,53.53,36.33,9318,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
AZE,Asia,Azerbaijan,2021-07-02,336223,101,68.857,4977,2,1.429,33160.785,9.961,6.791,490.868,0.197,0.141,,,,,,,,,,9851,3767982,371.626,0.972,7743,0.764,,,tests performed,3670729,2290808,1379921,73621,64583,36.2,22.59,13.61,6370,,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,
BHS,North America,Bahamas,2021-07-02,12735,0,38.286,246,0,0.143,32384.144,0,97.358,625.559,0,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHR,Asia,Bahrain,2021-07-02,266140,165,206.714,1356,3,3,156407.298,96.969,121.484,796.905,1.763,1.763,,,,,,,,,,13802,5052499,2969.293,8.111,12630,7.423,,,units unclear,2133703,1061023,993896,5363,17712,125.4,62.36,58.41,10409,,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,
BGD,Asia,Bangladesh,2021-07-02,930042,8483,7319.714,14778,132,114.571,5647.249,51.509,44.446,89.733,0.802,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,
BRB,North America,Barbados,2021-07-02,4082,0,2.286,47,0,0,14204.634,0,7.954,163.552,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,
BLR,Europe,Belarus,2021-07-02,419330,1118,768.286,3164,11,10.143,44376.734,118.315,81.306,334.839,1.164,1.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,
BEL,Europe,Belgium,2021-07-02,1086508,623,576,25185,5,3.571,93748.404,53.755,49.7,2173.066,0.431,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
