iso_code,vaccines
AFG,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
ALB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
DZA,"Oxford/AstraZeneca, Sputnik V"
AND,"Oxford/AstraZeneca, Pfizer/BioNTech"
AGO,Oxford/AstraZeneca
AIA,Oxford/AstraZeneca
ATG,Oxford/AstraZeneca
ARG,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
ARM,"Oxford/AstraZeneca, Sinovac, Sputnik V"
ABW,Pfizer/BioNTech
AUS,"Oxford/AstraZeneca, Pfizer/BioNTech"
AUT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
AZE,"Oxford/AstraZeneca, Sinovac, Sputnik V"
BHS,Oxford/AstraZeneca
BHR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
BGD,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
BRB,Oxford/AstraZeneca
BLR,"BBIBP-CorV, Sputnik V"
BEL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
BLZ,"Oxford/AstraZeneca, Sinopharm/Beijing"
BEN,"Oxford/AstraZeneca, Sinovac"
BMU,Pfizer/BioNTech
BTN,"Oxford/AstraZeneca, Pfizer/BioNTech"
BOL,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
BES,"Moderna, Pfizer/BioNTech"
BIH,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
BWA,Oxford/AstraZeneca
BRA,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
VGB,Oxford/AstraZeneca
BRN,"Oxford/AstraZeneca, Sinopharm/Beijing"
BGR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
BFA,Oxford/AstraZeneca
KHM,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
CMR,"BBIBP-CorV, Oxford/AstraZeneca"
